Year,Extroversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position,Pets,Piercings
First,6,5,6,Right-handed,Left leg in first,On your stomach,Dog,4
First,5,5,8,Right-handed,Right leg in first,On your stomach,Dog,4
Fourth,3,5,7,Left-handed,Left leg in first,On your back,Dog,4
Fourth,6,12,7,Right-handed,Left leg in first,On your back,Dog,4
Fourth,8,20,7,Right-handed,Right leg in first,On your left side,Dog,4
Second,2,6,6,Right-handed,Left leg in first,On your back,Dog,4
Second,4,18,8,Right-handed,Left leg in first,On your back,Dog,4
Second,5,4,7,Right-handed,Right leg in first,On your back,Dog,4
Second,8,10,7,Right-handed,Right leg in first,On your back,Dog,4
Second,4,3,7,Right-handed,I don't know,On your left side,Dog,4
Second,6,20,5,Right-handed,I don't know,On your left side,Dog,4
Second,3,5,7,Right-handed,Right leg in first,On your left side,Dog,4
Second,4,6,8,Right-handed,Right leg in first,On your left side,Dog,4
Second,5,5,8,Right-handed,Right leg in first,On your left side,Dog,4
Second,5,25,7,Right-handed,Right leg in first,On your left side,Dog,4
Second,6,4,7,Right-handed,Right leg in first,On your left side,Dog,4
Second,10,6,7,Right-handed,Right leg in first,On your left side,Dog,4
Second,7,10,7,Right-handed,Left leg in first,On your right side,Dog,4
Second,8,4,7,Ambidextrous ,Right leg in first,On your right side,Dog,4
Second,8,10,8,Right-handed,Right leg in first,On your right side,Dog,4
Second,7,5,7,Right-handed,Right leg in first,On your stomach,Dog,4
Second,7,8,7,Right-handed,Right leg in first,On your stomach,Dog,4
Third,7,4,7,Right-handed,Left leg in first,On your back,Dog,4
Third,5,4,7,Right-handed,Right leg in first,On your left side,Dog,4
Third,4,2,5,Right-handed,Right leg in first,On your right side,Dog,4
Third,7,10,8,Right-handed,Right leg in first,On your right side,Dog,4
Third,9,25,7,Right-handed,Left leg in first,On your stomach,Dog,4
Third,2,3,8,Right-handed,Right leg in first,On your stomach,Dog,4
First,6,4,8,Right-handed,Right leg in first,On your back,Dog,3
First,3,6,6,Right-handed,Right leg in first,On your left side,Dog,3
First,5,6,7,Right-handed,Right leg in first,On your left side,Dog,3
First,8,5,7,Right-handed,Right leg in first,On your left side,Dog,3
Fourth,9,20,9,Right-handed,Right leg in first,On your left side,Dog,3
Fourth,4,3,6,Right-handed,Right leg in first,On your right side,Dog,3
Second,7,8,7,Left-handed,Left leg in first,On your left side,Dog,3
Second,4,4,7,Right-handed,Right leg in first,On your left side,Dog,3
Second,5,10,6,Right-handed,Right leg in first,On your left side,Dog,3
Second,8,27,4,Left-handed,Left leg in first,On your right side,Dog,3
Second,8,30,7,Right-handed,Left leg in first,On your stomach,Dog,3
Second,8,7,7,Right-handed,Right leg in first,On your stomach,Dog,3
Third,7,2,8,Right-handed,I don't know,On your back,Dog,3
Third,6,5,8,Right-handed,Left leg in first,On your back,Dog,3
Third,6,10,9,Right-handed,I don't know,On your right side,Dog,3
Third,8,0,7,Right-handed,Left leg in first,On your stomach,Dog,3
First,5,4,6,Left-handed,Left leg in first,On your back,Dog,2
First,3,12,7.5,Right-handed,Left leg in first,On your back,Dog,2
First,4,4,6,Right-handed,Left leg in first,On your back,Dog,2
First,4,5,8,Right-handed,Right leg in first,On your back,Dog,2
First,7,9,8,Right-handed,Right leg in first,On your back,Dog,2
First,8,5,6,Right-handed,Right leg in first,On your back,Dog,2
First,8,8,8,Right-handed,Right leg in first,On your back,Dog,2
First,8,25,8,Right-handed,Right leg in first,On your back,Dog,2
First,10,10,8,Right-handed,Right leg in first,On your back,Dog,2
First,4,20,7,Right-handed,I don't know,On your left side,Dog,2
First,5,5,7,Right-handed,I don't know,On your left side,Dog,2
First,1,4,8,Right-handed,Right leg in first,On your left side,Dog,2
